ANNAISS;MNAISS;CODCOM;LBCOM;SEXE;PRN;NRB
2013;;35238;RENNES;FEMME;Inès;56
2013;;35238;RENNES;FEMME;Louise;55
2013;;35238;RENNES;FEMME;Chloé;53
2013;;35238;RENNES;FEMME;Camille;44
2013;;35238;RENNES;FEMME;Manon;44
2013;;35238;RENNES;FEMME;Alice;39
2013;;35238;RENNES;FEMME;Emma;38
2013;;35238;RENNES;FEMME;Jade;31
2013;;35238;RENNES;FEMME;Adèle;30
2013;;35238;RENNES;FEMME;Léa;29
2013;;35238;RENNES;FEMME;Jeanne;28
2013;;35238;RENNES;FEMME;Anna;27
2013;;35238;RENNES;FEMME;Juliette;27
2013;;35238;RENNES;FEMME;Rose;27
2013;;35238;RENNES;FEMME;Sarah;25
2013;;35238;RENNES;FEMME;Lola;24
2013;;35238;RENNES;FEMME;Léonie;24
2013;;35238;RENNES;FEMME;Anaïs;23
2013;;35238;RENNES;FEMME;Romane;23
2013;;35238;RENNES;FEMME;Ambre;22
2013;;35238;RENNES;FEMME;Clémence;22
2013;;35238;RENNES;FEMME;Enora;21
2013;;35238;RENNES;FEMME;Lina;21
2013;;35238;RENNES;FEMME;Zoé;21
2013;;35238;RENNES;FEMME;Lou;20
2013;;35238;RENNES;FEMME;Elise;19
2013;;35238;RENNES;FEMME;Lilou;19
2013;;35238;RENNES;FEMME;Charlotte;18
2013;;35238;RENNES;FEMME;Clara;18
2013;;35238;RENNES;FEMME;Lucie;18
2013;;35238;RENNES;FEMME;Margaux;18
2013;;35238;RENNES;FEMME;Mila;18
2013;;35238;RENNES;FEMME;Lisa;17
2013;;35238;RENNES;FEMME;Eva;16
2013;;35238;RENNES;FEMME;Louna;16
2013;;35238;RENNES;FEMME;Alicia;15
2013;;35238;RENNES;FEMME;Apolline;15
2013;;35238;RENNES;FEMME;Léna;15
2013;;35238;RENNES;FEMME;Mathilde;15
2013;;35238;RENNES;FEMME;Agathe;14
2013;;35238;RENNES;FEMME;Capucine;14
2013;;35238;RENNES;FEMME;Maëlys;14
2013;;35238;RENNES;FEMME;Maïwenn;13
2013;;35238;RENNES;FEMME;Romy;13
2013;;35238;RENNES;FEMME;Charlie;12
2013;;35238;RENNES;FEMME;Eloïse;12
2013;;35238;RENNES;FEMME;Laura;12
2013;;35238;RENNES;FEMME;Margot;12
2013;;35238;RENNES;FEMME;Maëlle;12
2013;;35238;RENNES;FEMME;Océane;12
2013;;35238;RENNES;FEMME;Cassandre;11
2013;;35238;RENNES;FEMME;Gabrielle;11
2013;;35238;RENNES;FEMME;Julia;11
2013;;35238;RENNES;FEMME;Louane;11
2013;;35238;RENNES;FEMME;Luna;11
2013;;35238;RENNES;FEMME;Salomé;11
2013;;35238;RENNES;FEMME;Zélie;11
2013;;35238;RENNES;FEMME;Faustine;10
2013;;35238;RENNES;FEMME;Julie;10
2013;;35238;RENNES;FEMME;Lily;10
2013;;35238;RENNES;FEMME;Nina;10
2013;;35238;RENNES;FEMME;Thaïs;10
2013;;35238;RENNES;FEMME;Valentine;10
2013;;35238;RENNES;FEMME;Victoire;10
2013;;35238;RENNES;FEMME;Youna;10
2013;;35238;RENNES;FEMME;Axelle;9
2013;;35238;RENNES;FEMME;Clémentine;9
2013;;35238;RENNES;FEMME;Elisa;9
2013;;35238;RENNES;FEMME;Emilie;9
2013;;35238;RENNES;FEMME;Lila;9
2013;;35238;RENNES;FEMME;Lison;9
2013;;35238;RENNES;FEMME;Lyna;9
2013;;35238;RENNES;FEMME;Maya;9
2013;;35238;RENNES;FEMME;Norah;9
2013;;35238;RENNES;FEMME;Noémie;9
2013;;35238;RENNES;FEMME;Soline;9
2013;;35238;RENNES;FEMME;Yuna;9
2013;;35238;RENNES;FEMME;Alix;8
2013;;35238;RENNES;FEMME;Candice;8
2013;;35238;RENNES;FEMME;Clarisse;8
2013;;35238;RENNES;FEMME;Célia;8
2013;;35238;RENNES;FEMME;Elsa;8
2013;;35238;RENNES;FEMME;Izia;8
2013;;35238;RENNES;FEMME;Lilwenn;8
2013;;35238;RENNES;FEMME;Pauline;8
2013;;35238;RENNES;FEMME;Amélie;7
2013;;35238;RENNES;FEMME;Angèle;7
2013;;35238;RENNES;FEMME;Elena;7
2013;;35238;RENNES;FEMME;Elyne;7
2013;;35238;RENNES;FEMME;Inaya;7
2013;;35238;RENNES;FEMME;Lise;7
2013;;35238;RENNES;FEMME;Louison;7
2013;;35238;RENNES;FEMME;Lya;7
2013;;35238;RENNES;FEMME;Marie;7
2013;;35238;RENNES;FEMME;Amina;6
2013;;35238;RENNES;FEMME;Anaé;6
2013;;35238;RENNES;FEMME;Anaëlle;6
2013;;35238;RENNES;FEMME;Céleste;6
2013;;35238;RENNES;FEMME;Eléa;6
2013;;35238;RENNES;FEMME;Emmy;6
2013;;35238;RENNES;FEMME;Iris;6
2013;;35238;RENNES;FEMME;Justine;6
2013;;35238;RENNES;FEMME;Lana;6
2013;;35238;RENNES;FEMME;Livia;6
2013;;35238;RENNES;FEMME;Lou-Ann;6
2013;;35238;RENNES;FEMME;Léane;6
2013;;35238;RENNES;FEMME;Morgane;6
2013;;35238;RENNES;FEMME;Myriam;6
2013;;35238;RENNES;FEMME;Nora;6
2013;;35238;RENNES;FEMME;Olivia;6
2013;;35238;RENNES;FEMME;Sterenn;6
2013;;35238;RENNES;FEMME;Suzanne;6
2013;;35238;RENNES;FEMME;Tess;6
2013;;35238;RENNES;FEMME;Aëlys;5
2013;;35238;RENNES;FEMME;Cloé;5
2013;;35238;RENNES;FEMME;Elina;5
2013;;35238;RENNES;FEMME;Ellie;5
2013;;35238;RENNES;FEMME;Garance;5
2013;;35238;RENNES;FEMME;Héléna;5
2013;;35238;RENNES;FEMME;Imane;5
2013;;35238;RENNES;FEMME;Khadija;5
2013;;35238;RENNES;FEMME;Kélia;5
2013;;35238;RENNES;FEMME;Liz;5
2013;;35238;RENNES;FEMME;Léana;5
2013;;35238;RENNES;FEMME;Maëline;5
2013;;35238;RENNES;FEMME;Maëly;5
2013;;35238;RENNES;FEMME;Mia;5
2013;;35238;RENNES;FEMME;Mya;5
2013;;35238;RENNES;FEMME;Méline;5
2013;;35238;RENNES;FEMME;Naomie;5
2013;;35238;RENNES;FEMME;Perrine;5
2013;;35238;RENNES;FEMME;Sasha;5
2013;;35238;RENNES;FEMME;Stella;5
2013;;35238;RENNES;FEMME;Yasmine;5
2013;;35238;RENNES;FEMME;Yaëlle;5
2013;;35238;RENNES;FEMME;Aliyah;4
2013;;35238;RENNES;FEMME;Amandine;4
2013;;35238;RENNES;FEMME;Azilis;4
2013;;35238;RENNES;FEMME;Aziliz;4
2013;;35238;RENNES;FEMME;Bérénice;4
2013;;35238;RENNES;FEMME;Cléa;4
2013;;35238;RENNES;FEMME;Coline;4
2013;;35238;RENNES;FEMME;Constance;4
2013;;35238;RENNES;FEMME;Célestine;4
2013;;35238;RENNES;FEMME;Diane;4
2013;;35238;RENNES;FEMME;Eden;4
2013;;35238;RENNES;FEMME;Emy;4
2013;;35238;RENNES;FEMME;Flavie;4
2013;;35238;RENNES;FEMME;Flora;4
2013;;35238;RENNES;FEMME;Ilona;4
2013;;35238;RENNES;FEMME;Joséphine;4
2013;;35238;RENNES;FEMME;Katell;4
2013;;35238;RENNES;FEMME;Lia;4
2013;;35238;RENNES;FEMME;Lili;4
2013;;35238;RENNES;FEMME;Lilia;4
2013;;35238;RENNES;FEMME;Lou-Anne;4
2013;;35238;RENNES;FEMME;Lucile;4
2013;;35238;RENNES;FEMME;Lylou;4
2013;;35238;RENNES;FEMME;Maëlyss;4
2013;;35238;RENNES;FEMME;Maïa;4
2013;;35238;RENNES;FEMME;Roxane;4
2013;;35238;RENNES;FEMME;Sara;4
2013;;35238;RENNES;FEMME;Shayna;4
2013;;35238;RENNES;FEMME;Sidonie;4
2013;;35238;RENNES;FEMME;Alwena;3
2013;;35238;RENNES;FEMME;Alyssa;3
2013;;35238;RENNES;FEMME;Amira;3
2013;;35238;RENNES;FEMME;Amélia;3
2013;;35238;RENNES;FEMME;Ana;3
2013;;35238;RENNES;FEMME;Anastasia;3
2013;;35238;RENNES;FEMME;Anaë;3
2013;;35238;RENNES;FEMME;Andréa;3
2013;;35238;RENNES;FEMME;Angélina;3
2013;;35238;RENNES;FEMME;Anissa;3
2013;;35238;RENNES;FEMME;Anouck;3
2013;;35238;RENNES;FEMME;Assia;3
2013;;35238;RENNES;FEMME;Aurore;3
2013;;35238;RENNES;FEMME;Aylin;3
2013;;35238;RENNES;FEMME;Carla;3
2013;;35238;RENNES;FEMME;Chaïma;3
2013;;35238;RENNES;FEMME;Clervie;3
2013;;35238;RENNES;FEMME;Clélia;3
2013;;35238;RENNES;FEMME;Cléo;3
2013;;35238;RENNES;FEMME;Daphné;3
2013;;35238;RENNES;FEMME;Elia;3
2013;;35238;RENNES;FEMME;Elif;3
2013;;35238;RENNES;FEMME;Eloane;3
2013;;35238;RENNES;FEMME;Elya;3
2013;;35238;RENNES;FEMME;Erin;3
2013;;35238;RENNES;FEMME;Eugénie;3
2013;;35238;RENNES;FEMME;Fatima;3
2013;;35238;RENNES;FEMME;Hajar;3
2013;;35238;RENNES;FEMME;Héloïse;3
2013;;35238;RENNES;FEMME;Iliana;3
2013;;35238;RENNES;FEMME;Johanna;3
2013;;35238;RENNES;FEMME;Judith;3
2013;;35238;RENNES;FEMME;June;3
2013;;35238;RENNES;FEMME;Kessy;3
2013;;35238;RENNES;FEMME;Kim;3
2013;;35238;RENNES;FEMME;Klervi;3
2013;;35238;RENNES;FEMME;Laure;3
2013;;35238;RENNES;FEMME;Leslie;3
2013;;35238;RENNES;FEMME;Leyla;3
2013;;35238;RENNES;FEMME;Line;3
2013;;35238;RENNES;FEMME;Loane;3
2013;;35238;RENNES;FEMME;Louisa;3
2013;;35238;RENNES;FEMME;Lucille;3
2013;;35238;RENNES;FEMME;Lyana;3
2013;;35238;RENNES;FEMME;Lélia;3
2013;;35238;RENNES;FEMME;Manoé;3
2013;;35238;RENNES;FEMME;Maria;3
2013;;35238;RENNES;FEMME;Marion;3
2013;;35238;RENNES;FEMME;Marylou;3
2013;;35238;RENNES;FEMME;Maélie;3
2013;;35238;RENNES;FEMME;Maëla;3
2013;;35238;RENNES;FEMME;Maëva;3
2013;;35238;RENNES;FEMME;Maïna;3
2013;;35238;RENNES;FEMME;Mina;3
2013;;35238;RENNES;FEMME;Mélissa;3
2013;;35238;RENNES;FEMME;Ninon;3
2013;;35238;RENNES;FEMME;Noa;3
2013;;35238;RENNES;FEMME;Noéline;3
2013;;35238;RENNES;FEMME;Philippine;3
2013;;35238;RENNES;FEMME;Philomène;3
2013;;35238;RENNES;FEMME;Selma;3
2013;;35238;RENNES;FEMME;Shannon;3
2013;;35238;RENNES;FEMME;Swan;3
2013;;35238;RENNES;FEMME;Tessa;3
2013;;35238;RENNES;FEMME;Tiphaine;3
2013;;35238;RENNES;FEMME;Victoria;3
2013;;35238;RENNES;FEMME;Yasmina;3
2013;;35238;RENNES;FEMME;Aaliyah;2
2013;;35238;RENNES;FEMME;Abigaëlle;2
2013;;35238;RENNES;FEMME;Aelig;2
2013;;35238;RENNES;FEMME;Alana;2
