ANNAISS;MNAISS;CODCOM;LBCOM;SEXE;PRN;NBR
2010;;35238;RENNES;FEMME;Louise;48
2010;;35238;RENNES;FEMME;Chloé;44
2010;;35238;RENNES;FEMME;Jade;36
2010;;35238;RENNES;FEMME;Inès;34
2010;;35238;RENNES;FEMME;Manon;34
2010;;35238;RENNES;FEMME;Romane;34
2010;;35238;RENNES;FEMME;Emma;33
2010;;35238;RENNES;FEMME;Lola;33
2010;;35238;RENNES;FEMME;Léa;32
2010;;35238;RENNES;FEMME;Sarah;32
2010;;35238;RENNES;FEMME;Zoé;31
2010;;35238;RENNES;FEMME;Juliette;30
2010;;35238;RENNES;FEMME;Rose;30
2010;;35238;RENNES;FEMME;Clémence;29
2010;;35238;RENNES;FEMME;Clara;26
2010;;35238;RENNES;FEMME;Jeanne;24
2010;;35238;RENNES;FEMME;Maëlys;24
2010;;35238;RENNES;FEMME;Camille;23
2010;;35238;RENNES;FEMME;Lilou;23
2010;;35238;RENNES;FEMME;Alice;21
2010;;35238;RENNES;FEMME;Eva;21
2010;;35238;RENNES;FEMME;Léna;21
2010;;35238;RENNES;FEMME;Lucie;20
2010;;35238;RENNES;FEMME;Anna;19
2010;;35238;RENNES;FEMME;Ambre;18
2010;;35238;RENNES;FEMME;Louane;18
2010;;35238;RENNES;FEMME;Louna;17
2010;;35238;RENNES;FEMME;Margot;17
2010;;35238;RENNES;FEMME;Mila;17
2010;;35238;RENNES;FEMME;Charlotte;16
2010;;35238;RENNES;FEMME;Lou;16
2010;;35238;RENNES;FEMME;Océane;16
2010;;35238;RENNES;FEMME;Agathe;15
2010;;35238;RENNES;FEMME;Anaïs;15
2010;;35238;RENNES;FEMME;Margaux;15
2010;;35238;RENNES;FEMME;Marie;15
2010;;35238;RENNES;FEMME;Mathilde;15
2010;;35238;RENNES;FEMME;Salomé;15
2010;;35238;RENNES;FEMME;Adèle;14
2010;;35238;RENNES;FEMME;Célia;14
2010;;35238;RENNES;FEMME;Enora;14
2010;;35238;RENNES;FEMME;Pauline;14
2010;;35238;RENNES;FEMME;Anaëlle;13
2010;;35238;RENNES;FEMME;Julie;13
2010;;35238;RENNES;FEMME;Elisa;12
2010;;35238;RENNES;FEMME;Léonie;12
2010;;35238;RENNES;FEMME;Alicia;11
2010;;35238;RENNES;FEMME;Capucine;11
2010;;35238;RENNES;FEMME;Eloïse;11
2010;;35238;RENNES;FEMME;Léane;11
2010;;35238;RENNES;FEMME;Lisa;11
2010;;35238;RENNES;FEMME;Lison;11
2010;;35238;RENNES;FEMME;Maëlle;11
2010;;35238;RENNES;FEMME;Thaïs;11
2010;;35238;RENNES;FEMME;Elsa;10
2010;;35238;RENNES;FEMME;Justine;10
2010;;35238;RENNES;FEMME;Lina;10
2010;;35238;RENNES;FEMME;Héloïse;9
2010;;35238;RENNES;FEMME;Laura;9
2010;;35238;RENNES;FEMME;Lily;9
2010;;35238;RENNES;FEMME;Maïwenn;9
2010;;35238;RENNES;FEMME;Marion;9
2010;;35238;RENNES;FEMME;Noémie;9
2010;;35238;RENNES;FEMME;Yuna;9
2010;;35238;RENNES;FEMME;Anouk;8
2010;;35238;RENNES;FEMME;Gabrielle;8
2010;;35238;RENNES;FEMME;Garance;8
2010;;35238;RENNES;FEMME;Julia;8
2010;;35238;RENNES;FEMME;Lilwenn;8
2010;;35238;RENNES;FEMME;Maëline;8
2010;;35238;RENNES;FEMME;Shana;8
2010;;35238;RENNES;FEMME;Alix;7
2010;;35238;RENNES;FEMME;Apolline;7
2010;;35238;RENNES;FEMME;Elise;7
2010;;35238;RENNES;FEMME;Leïla;7
2010;;35238;RENNES;FEMME;Louisa;7
2010;;35238;RENNES;FEMME;Lucile;7
2010;;35238;RENNES;FEMME;Luna;7
2010;;35238;RENNES;FEMME;Mélina;7
2010;;35238;RENNES;FEMME;Morgane;7
2010;;35238;RENNES;FEMME;Olivia;7
2010;;35238;RENNES;FEMME;Sara;7
2010;;35238;RENNES;FEMME;Youna;7
2010;;35238;RENNES;FEMME;Zélie;7
2010;;35238;RENNES;FEMME;Anaé;6
2010;;35238;RENNES;FEMME;Carmen;6
2010;;35238;RENNES;FEMME;Charline;6
2010;;35238;RENNES;FEMME;Coline;6
2010;;35238;RENNES;FEMME;Eléonore;6
2010;;35238;RENNES;FEMME;Emilie;6
2010;;35238;RENNES;FEMME;Emy;6
2010;;35238;RENNES;FEMME;Faustine;6
2010;;35238;RENNES;FEMME;Lana;6
2010;;35238;RENNES;FEMME;Lise;6
2010;;35238;RENNES;FEMME;Maïa;6
2010;;35238;RENNES;FEMME;Maïlys;6
2010;;35238;RENNES;FEMME;Méline;6
2010;;35238;RENNES;FEMME;Ninon;6
2010;;35238;RENNES;FEMME;Norah;6
2010;;35238;RENNES;FEMME;Selma;6
2010;;35238;RENNES;FEMME;Sofia;6
2010;;35238;RENNES;HOMME;Nathan;50
2010;;35238;RENNES;HOMME;Lucas;48
2010;;35238;RENNES;HOMME;Jules;42
2010;;35238;RENNES;HOMME;Léo;42
2010;;35238;RENNES;HOMME;Louis;42
2010;;35238;RENNES;HOMME;Gabriel;41
2010;;35238;RENNES;HOMME;Enzo;39
2010;;35238;RENNES;HOMME;Titouan;38
2010;;35238;RENNES;HOMME;Ethan;36
2010;;35238;RENNES;HOMME;Nolan;36
2010;;35238;RENNES;HOMME;Arthur;34
2010;;35238;RENNES;HOMME;Ewen;34
2010;;35238;RENNES;HOMME;Maël;34
2010;;35238;RENNES;HOMME;Hugo;33
2010;;35238;RENNES;HOMME;Raphaël;32
2010;;35238;RENNES;HOMME;Thomas;30
2010;;35238;RENNES;HOMME;Paul;29
2010;;35238;RENNES;HOMME;Tom;29
2010;;35238;RENNES;HOMME;Evan;28
2010;;35238;RENNES;HOMME;Noah;28
2010;;35238;RENNES;HOMME;Sacha;28
2010;;35238;RENNES;HOMME;Clément;27
2010;;35238;RENNES;HOMME;Mathis;26
2010;;35238;RENNES;HOMME;Maxime;26
2010;;35238;RENNES;HOMME;Baptiste;25
2010;;35238;RENNES;HOMME;Noé;24
2010;;35238;RENNES;HOMME;Alexis;23
2010;;35238;RENNES;HOMME;Antoine;23
2010;;35238;RENNES;HOMME;Théo;23
2010;;35238;RENNES;HOMME;Elouan;22
2010;;35238;RENNES;HOMME;Gabin;22
2010;;35238;RENNES;HOMME;Timéo;22
2010;;35238;RENNES;HOMME;Yanis;22
2010;;35238;RENNES;HOMME;Simon;21
2010;;35238;RENNES;HOMME;Axel;20
2010;;35238;RENNES;HOMME;Malo;20
2010;;35238;RENNES;HOMME;Marius;19
2010;;35238;RENNES;HOMME;Mathéo;18
2010;;35238;RENNES;HOMME;Adam;17
2010;;35238;RENNES;HOMME;Gaspard;17
2010;;35238;RENNES;HOMME;Martin;17
2010;;35238;RENNES;HOMME;Pierre;17
2010;;35238;RENNES;HOMME;Liam;16
2010;;35238;RENNES;HOMME;Romain;15
2010;;35238;RENNES;HOMME;Julien;14
2010;;35238;RENNES;HOMME;Maxence;14
2010;;35238;RENNES;HOMME;Quentin;14
2010;;35238;RENNES;HOMME;Alexandre;13
2010;;35238;RENNES;HOMME;Côme;13
2010;;35238;RENNES;HOMME;Eliott;12
2010;;35238;RENNES;HOMME;Lilian;12
2010;;35238;RENNES;HOMME;Noa;12
2010;;35238;RENNES;HOMME;Oscar;12
2010;;35238;RENNES;HOMME;Benjamin;11
2010;;35238;RENNES;HOMME;Mathieu;11
2010;;35238;RENNES;HOMME;Victor;11
2010;;35238;RENNES;HOMME;Aaron;10
2010;;35238;RENNES;HOMME;Corentin;10
2010;;35238;RENNES;HOMME;Esteban;10
2010;;35238;RENNES;HOMME;Samuel;10
2010;;35238;RENNES;HOMME;Adrien;9
2010;;35238;RENNES;HOMME;Camille;9
2010;;35238;RENNES;HOMME;Jean;9
2010;;35238;RENNES;HOMME;Lenny;9
2010;;35238;RENNES;HOMME;Mattéo;9
2010;;35238;RENNES;HOMME;Nino;9
2010;;35238;RENNES;HOMME;Rayan;9
2010;;35238;RENNES;HOMME;Tristan;9
2010;;35238;RENNES;HOMME;Youenn;9
2010;;35238;RENNES;HOMME;Armand;8
2010;;35238;RENNES;HOMME;Augustin;8
2010;;35238;RENNES;HOMME;Dorian;8
2010;;35238;RENNES;HOMME;Ewan;8
2010;;35238;RENNES;HOMME;Ilan;8
2010;;35238;RENNES;HOMME;Johan;8
2010;;35238;RENNES;HOMME;Loan;8
2010;;35238;RENNES;HOMME;Lorenzo;8
2010;;35238;RENNES;HOMME;Lucien;8
2010;;35238;RENNES;HOMME;Marin;8
2010;;35238;RENNES;HOMME;Naël;8
2010;;35238;RENNES;HOMME;Nathanaël;8
2010;;35238;RENNES;HOMME;Nolann;8
2010;;35238;RENNES;HOMME;Robin;8
2010;;35238;RENNES;HOMME;Timothée;8
2010;;35238;RENNES;HOMME;Yann;8
2010;;35238;RENNES;HOMME;Ylan;8
2010;;35238;RENNES;HOMME;Amaury;7
2010;;35238;RENNES;HOMME;Anatole;7
2010;;35238;RENNES;HOMME;Bastien;7
2010;;35238;RENNES;HOMME;Elias;7
2010;;35238;RENNES;HOMME;Elie;7
2010;;35238;RENNES;HOMME;Evann;7
2010;;35238;RENNES;HOMME;Ewenn;7
2010;;35238;RENNES;HOMME;Ismaël;7
2010;;35238;RENNES;HOMME;Léopold;7
2010;;35238;RENNES;HOMME;Louka;7
2010;;35238;RENNES;HOMME;Mahé;7
2010;;35238;RENNES;HOMME;Matéo;7
2010;;35238;RENNES;HOMME;Mathys;7
2010;;35238;RENNES;HOMME;Nils;7
2010;;35238;RENNES;HOMME;Noam;7
2010;;35238;RENNES;HOMME;Ruben;7
2010;;35238;RENNES;HOMME;Soen;7
2010;;35238;RENNES;HOMME;Thibault;7
2010;;35238;RENNES;HOMME;Valentin;7
2010;;35238;RENNES;HOMME;Ambroise;6
2010;;35238;RENNES;HOMME;Basile;6
2010;;35238;RENNES;HOMME;Briac;6
2010;;35238;RENNES;HOMME;Eliaz;6
2010;;35238;RENNES;HOMME;Eliot;6
2010;;35238;RENNES;HOMME;Erwan;6
2010;;35238;RENNES;HOMME;Gaël;6
2010;;35238;RENNES;HOMME;Lino;6
2010;;35238;RENNES;HOMME;Marceau;6
2010;;35238;RENNES;HOMME;Merlin;6
2010;;35238;RENNES;HOMME;Nicolas;6
2010;;35238;RENNES;HOMME;Nolhan;6
2010;;35238;RENNES;HOMME;Rafaël;6
2010;;35238;RENNES;HOMME;Sasha;6
2010;;35238;RENNES;HOMME;Yaël;6
